ID	S	M	FC
I111	1	21.5	s
I112	1	26.7	bl
I113	0	14.8	bl
I114	1	31.0	bl
I115	1	34.0	bl
I116	1	33.5	bl
I117	0	17.6	bl
I118	0	25.3	s
I119	0	21.6	bl
I120	1	26.4	s
I121	0	25.6	br
I122	0	23.5	bl
I123	0	15.6	bl
I124	1	26.5	bl
I125	1	21.2	s
I126	0	32.5	br
I127	0	19.2	bl
I128	1	23.4	bl
I129	1	23.6	bl
I130	1	32.8	bl
I131	1	15.7	bl
I132	0	17.5	bl
I133	1	22.7	bl
I134	1	20.3	bl
I135	1	19.3	bl
I136	0	16.5	bl
I137	0	21.3	bl
I138	0	23.8	br
I139	0	18.8	br
I140	0	16.4	br
I141	0	21.7	s
I142	1	26.5	s
I143	0	18.6	br
I144	0	21.6	br
I145	0	22.7	br
I146	1	31.0	bl
I147	0	21.5	br
I148	1	31.6	s
I149	0	20.0	br
I150	0	18.2	br
I151	1	32.7	bl
I152	1	24.8	s
I153	0	24.5	bl
I154	0	18.8	bl
I155	0	19.7	bl
I156	0	17.7	br
I157	0	19.4	s
I158	1	18.0	br
I159	1	27.9	br
I160	1	32.7	bl
I161	1	25.7	br
I162	0	23.8	br
I163	1	37.7	bl
I164	1	27.0	s
I165	1	27.3	bl
I166	0	18.6	s
I167	0	22.0	bl
I168	0	21.6	bl
I169	1	34.8	br
I170	0	26.3	s
I171	0	23.0	s
I172	0	25.5	br
I173	1	25.1	bl
I174	0	20.4	bl
I175	1	25.1	br
I176	0	20.6	bl
I177	0	24.2	bl
I178	0	22.7	bl
I179	0	15.8	bl
I180	1	23.6	br
I181	0	19.7	bl
I182	0	24.0	bl
I183	1	25.0	bl
I184	0	20.0	bl
I185	1	18.8	bl
I186	0	23.0	bl
I187	0	20.0	bl
I188	0	17.7	bl
I189	1	28.4	bl
I190	1	24.4	bl
I191	1	23.0	bl
I192	1	25.5	br
I193	0	24.1	br
I194	0	19.8	bl
I195	0	21.6	bl
I196	0	23.1	br
I197	1	24.5	bl
I198	0	24.6	bl
I199	0	17.1	br
I200	0	19.9	br
I201	1	27.7	bl
I202	1	19.8	bl
I203	1	26.2	bl
I204	1	24.0	bl
I205	1	26.7	bl
I206	1	28.0	br
I207	1	30.5	s
I208	0	25.7	br
I209	1	29.9	bl
I210	0	24.3	bl
I211	0	23.2	bl
I212	1	24.2	bl
I213	0	17.6	br
I214	0	16.8	bl
I215	1	27.6	br
I216	1	30.4	bl
I217	0	16.0	br
I218	0	26.9	bl
I219	1	31.3	bl
I220	0	17.6	bl
I221	1	30.3	bl
I222	0	16.5	br
I223	0	20.5	bl
I224	0	22.4	bl
I225	1	29.6	bl
I226	1	34.8	br
I227	1	17.3	bl
I228	0	23.1	br
I229	1	22.4	bl
I230	1	29.2	br
I231	1	29.9	bl
I232	0	28.1	bl
I233	0	22.2	bl
I234	0	20.6	bl
I235	1	30.0	br
I236	1	23.9	bl
I237	0	19.6	bl
I238	0	19.9	bl
I239	0	19.8	bl
I240	1	26.6	bl
I241	0	18.4	s
I242	0	16.2	bl
I243	0	23.8	bl
I244	1	29.0	bl
I245	0	18.2	bl
I246	0	19.2	bl
I247	1	28.6	br
I248	1	27.9	bl
I249	0	20.1	bl
I250	1	23.2	bl
I251	0	26.1	bl
I252	1	25.1	bl
I253	1	24.9	bl
I254	1	32.4	bl
I255	1	26.3	s
I256	1	30.1	s
I257	0	13.6	bl
I258	1	26.1	s
I259	1	23.2	s
I260	1	19.4	s
I261	1	26.2	s
I262	0	19.3	br
I263	0	26.9	br
I264	0	20.3	s
I265	0	26.7	bl
I266	1	25.3	br
I267	0	23.4	bl
I268	1	26.2	s
I269	0	25.2	bl
I270	1	27.2	s
I271	0	21.0	bl
I272	1	26.5	s
I273	1	23.9	s
I274	0	19.1	br
I275	1	22.4	br
I276	0	19.6	bl
I277	0	15.1	bl
I278	0	24.1	br
I279	0	20.0	bl
I280	0	16.4	bl
I281	1	24.8	s
I282	0	18.6	bl
I283	1	27.3	br
I284	0	18.6	bl
I285	0	15.5	bl
I286	1	25.1	br
I287	0	21.8	br
I288	1	35.7	br
I289	0	21.2	bl
I290	1	27.4	s
I291	1	9.3	bl
I292	0	24.4	bl
I293	0	16.9	bl
I294	1	25.6	bl
I295	1	25.8	bl
I296	1	26.5	bl
I297	1	30.8	br
I298	0	19.3	bl
I299	0	16.3	bl
I300	1	26.5	bl
I301	0	26.1	bl
I302	1	26.6	br
I303	0	19.2	br
I304	1	25.5	bl
I305	0	21.7	bl
I306	0	19.0	bl
I307	0	20.0	s
I308	1	30.7	bl
I309	0	19.2	bl
