Nr	ID	AM	BM	Age
1	B015	6.27	185	12
2	B017	5.85	185	4
3	B067	4.96	185	9
4	B081	3.43	164	5
5	B085	6.85	186	7
6	B086	4.98	166	6
7	B094	7.65	165	11
8	B0109	4.36	142	8
9	B009	7.9	202	11
10	B033	3.8	148	5
11	B034	6.92	200	12
12	B040	6.65	168	11
13	B042	6.66	134	11
14	B045	6.98	167	11
15	B046	2.39	103	4
16	B047	3.81	122	7
17	B049	8.45	192	11
18	B052	8.48	175	12
19	B054	7.18	166	13
20	B055	2.28	144	4
21	B056	5.57	158	8
22	B057	4.44	134	7
23	B059	8.18	196	12
24	B060	7.53	160	10
25	B062	6.3	147	13
26	B064	9.09	153	11
27	B075	1.8	123	3
28	B076	4.64	173	7
29	B077	2.75	122	4
30	B078	5.03	144	7
31	B080	2.2	116	5
32	B083	4.78	134	5
33	B084	4.13	141	5
34	B086	5.36	142	9
35	B087	4.23	147	5
