No	M	RMR
1	5.2	28.1
2	34.6	64.7
3	23.5	40
4	42.3	57.5
5	27.0	49.4
6	76.8	110.6
7	62.3	97.8
8	7.3	14.2
9	48.0	71
10	16.0	28.8
11	16.9	27.9
12	1870.9	1029
13	336.7	212.1
14	17.5	29.9
15	35.3	38.8
16	27.9	29.6
17	28.4	22.2
18	12.6	13.5
19	69.4	84
20	138.0	121.4
21	110.8	124.1
22	72.0	53.3
23	66.9	76.9
24	183.0	134.5
25	321.0	250.4
26	186.7	147.5
27	139.0	100.1
28	62.0	84.3
29	19.5	27.1
30	19.1	29.6
31	28.2	51
32	102.1	84.9
33	108.9	124.1
34	84.0	91.6
35	98.3	118
36	23.2	54.3
37	48.0	43.7
38	16.1	24.7
39	20.7	26.3
40	21.5	37
41	21.4	33.9
42	18.2	31.1
43	66.2	90.7
44	12.0	21.5
45	28.3	46.7
46	33.0	45.9
47	24.0	39.1
48	27.4	42.5
49	59.0	71.4
50	55.0	56.7
51	37.8	43.5
52	224.0	116.7
53	10.6	19.4
54	12.0	31.2
55	15.2	31.9
56	60.3	46.7
57	137.8	203.3
58	137.8	207.4
59	141.0	145.2
60	128.6	186.5
61	115.1	154.2
62	87.0	75.7
63	128.0	110.1
64	151.9	127.7
65	52.9	121.7
66	51.0	88.7
67	67.4	129.7
68	24.6	59.5
69	24.6	54.9
70	27.5	55
71	28.0	77
72	47.0	92.6
73	29.0	45.2
74	70.0	119
75	64.0	158.1
76	22.0	65.8
77	20.0	62
78	40.3	77
79	44.0	68.2
80	27.0	72.1
81	28.0	45.6
82	27.2	51.7
83	36.5	111.7
84	51.0	60.2
85	32.0	80
86	38.0	73.3
87	52.2	90.4
88	276.0	234.6
89	842.0	690.4
90	26.0	78
91	25.0	49.5
92	42.0	46.2
93	51.0	40.8
94	21.2	66.8
95	20.6	65.5
96	40.5	152.3
97	22.0	57.2
98	56.0	60.5
99	12.2	23.3
100	47.5	57.6
101	7.4	21.2
102	15.0	25
103	32.3	45.2
104	34.2	41.7
105	42.0	33.2
106	79.8	83.8
107	76.0	84.4
108	109.0	63.2
109	237.0	312.8
110	132.0	167.6
111	187.0	106.6
112	40.3	32.7
113	84.2	97.5
114	403.0	282.1
