Nr	Species	EggL
1	HS	21.65
2	HS	23.85
3	HS	23.05
4	HS	23.05
5	HS	24.05
6	HS	25.05
7	HS	23.05
8	HS	23.85
9	HS	22.85
10	HS	22.05
11	HS	20.85
12	HS	23.05
13	HS	23.45
14	HS	23.85
15	MP	21.85
16	MP	22.05
17	MP	20.05
18	MP	21.65
19	MP	22.05
20	MP	22.45
21	MP	19.65
22	MP	22.05
23	MP	22.25
24	MP	22.45
25	MP	22.05
26	MP	21.85
27	MP	22.25
28	MP	22.05
29	PW	22.65
30	PW	21.85
31	PW	22.05
32	PW	23.25
33	PW	24.05
34	PW	24.05
35	PW	23.05
36	PW	21.85
37	PW	21.05
38	PW	23.05
39	PW	22.45
40	PW	23.45
41	PW	21.85
42	PW	24.85
43	R	22.05
44	R	23.05
45	R	23.05
46	R	21.05
47	R	23.85
48	R	23.05
49	R	22.05
50	R	23.05
51	R	22.45
52	R	23.05
53	R	23.25
54	R	21.85
55	R	22.05
56	R	22.65
57	TP	21.05
58	TP	23.25
59	TP	23.25
60	TP	22.05
61	TP	23.45
62	TP	23.25
63	TP	24.05
64	TP	24.05
65	TP	23.45
66	TP	23.85
67	TP	22.65
68	TP	24.05
69	TP	23.65
70	TP	22.45
71	W	22.05
72	W	20.85
73	W	20.05
74	W	22.05
75	W	21.05
76	W	21.45
77	W	21.25
78	W	20.85
79	W	21.05
80	W	20.25
81	W	20.85
82	W	22.25
83	W	19.85
84	W	22.05
